sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","29/02/2024","23:42","","-14,97","EUR","","Pablo; ","2757,85"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","26/02/2024","23:38","","45,00","EUR","","Pablo; ","2772,82"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","24/02/2024","5:52","","26,21","EUR","","Pablo; ","2727,82"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","19/02/2024","6:20","","45,00","EUR","","Pablo; ","2701,61"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","18/02/2024","16:36","","1,37","EUR","","Pablo; ","2656,61"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","16/02/2024","21:21","","16,70","EUR","","Pablo; ","2655,24"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","12/02/2024","18:43","","45,00","EUR","","Pablo; ","2638,54"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","10/02/2024","7:35","","39,60","EUR","","Pablo; ","2593,54"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","05/02/2024","7:18","","19,41","EUR","","Pablo; ","2553,94"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","05/02/2024","7:17","","45,00","EUR","","Pablo; ","2534,53"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/01/2024","19:03","","-12,56","EUR","","Pablo; ","2489,53"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","29/01/2024","19:02","","45,00","EUR","","Pablo; ","2502,09"
